"MouseID","Batch","Sex","Tester","Age.at.Test","Weight","Alopecia","Loss.of.fur.colour","Dermatitis","Loss.of.whiskers","Coat.condition","Piloerection","Cataracts","Eye.discharge.swelling","Microphthalmia","Corneal.opacity","Nasal.discharge","Rectal.prolapse","Vaginal.uterine.","Diarrhea","Vestibular.disturbance","Vision.loss..Visual.Placing.","Menace.reflex","Tail.stiffening","Gait.disorders","Tremor","Tumours","Distended.abdomen","Kyphosis","Body.condition","Breathing.rate.depth","Malocclusions","Righting.Reflex","OverallScore"
"AgedB6-0904","Batch1","Male","Scorer3",106,36.39,0,0.5,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,1,0,0.5,0,0,0,0,6
"AgedB6-0954","Batch1","Male","Scorer3",20,32.62,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5
"AgedB6-0388","Batch1","Male","Scorer2",50,32.36,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,1,0.5,0,0,0,7
"AgedB6-0624","Batch1","Female","Scorer2",97,57.67,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,0.5,0,0,0,0,3.5
"AgedB6-0437","Batch2","Male","Scorer3",109,36.56,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,11
"AgedB6-0625","Batch1","Female","Scorer2",97,38.93,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0.5,1,0,0,0,0,3.5
"AgedB6-0255","Batch1","Male","Scorer2",105,34.79,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0.5,0,0,1,0.5,0,0,0.5,11.5
"AgedB6-0438","Batch2","Male","Scorer3",109,42.42,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0.5,0,0.5,0,6
"AgedB6-0626","Batch1","Female","Scorer2",97,38.91,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3.5
"AgedB6-0256","Batch1","Male","Scorer2",105,38.47,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0.5,1,0,0.5,1,0.5,0,0,0,10.5
